Species,SSPModel,ElevationRange,ElevationRangeNumeric,PercentSuitableHabitat
Atrichum,ssp245E,A,"""0-400""",0.315989046
Atrichum,zzssp245L,A,"""0-400""",0.555739465
Atrichum,ssp370E,A,"""0-400""",0.295926249
Atrichum,zzssp370L,A,"""0-400""",0.163511792
Atrichum,Ahist,A,"""0-400""",0.983077031
Atrichum,Current,A,"""0-400""",2.338318938
Broth,ssp245E,A,"""0-400""",0.287901131
Broth,zzssp245L,A,"""0-400""",0.322007885
Broth,ssp370E,A,"""0-400""",0.090282584
Broth,zzssp370L,A,"""0-400""",0
Broth,Ahist,A,"""0-400""",26.93932007
Broth,Current,A,"""0-400""",47.2408639
Bryhnia,ssp245E,A,"""0-400""",0.186584008
Bryhnia,zzssp245L,A,"""0-400""",0.147461555
Bryhnia,ssp370E,A,"""0-400""",0.013040818
Bryhnia,zzssp370L,A,"""0-400""",0
Bryhnia,Ahist,A,"""0-400""",16.3110536
Bryhnia,Current,A,"""0-400""",28.03876132
Dicrano,ssp245E,A,"""0-400""",0.012037678
Dicrano,zzssp245L,A,"""0-400""",0.004012559
Dicrano,ssp370E,A,"""0-400""",0.005015699
Dicrano,zzssp370L,A,"""0-400""",0
Dicrano,Ahist,A,"""0-400""",0.181568309
Dicrano,Current,A,"""0-400""",0.186584008
Dicranum,ssp245E,A,"""0-400""",7.784365063
Dicranum,zzssp245L,A,"""0-400""",2.603147853
Dicranum,ssp370E,A,"""0-400""",6.431129435
Dicranum,zzssp370L,A,"""0-400""",1.0502874
Dicranum,Ahist,A,"""0-400""",35.12594421
Dicranum,Current,A,"""0-400""",44.73803003
Hyp,ssp245E,A,"""0-400""",0.29191369
Hyp,zzssp245L,A,"""0-400""",0.072226068
Hyp,ssp370E,A,"""0-400""",0.027084775
Hyp,zzssp370L,A,"""0-400""",0
Hyp,Ahist,A,"""0-400""",21.79521904
Hyp,Current,A,"""0-400""",33.59916539
Poly,ssp245E,A,"""0-400""",1.259943624
Poly,zzssp245L,A,"""0-400""",1.156620221
