Species,PercentSuitableChange,SpeciesChange,TimeComparison
Atrichum,-44.98295196,AStable,E245
Atrichum,-45.6573437,AStable,E370
Atrichum,-44.6215376,AStable,L245
Atrichum,-47.22968247,AStable,L370
Atrichum,-33.95049919,AStable,Current
BA_Dicranum,-19.60714031,AStable,E245
BA_Dicranum,-24.64458581,AStable,E370
BA_Dicranum,-30.62468939,AStable,L245
BA_Dicranum,-44.44785717,AStable,L370
BA_Dicranum,10.57282169,AStable,Current
CA_Hypnum,-37.56614057,AStable,E245
CA_Hypnum,-43.79960679,AStable,E370
CA_Hypnum,-43.05069663,AStable,L245
CA_Hypnum,-49.89893985,AStable,L370
CA_Hypnum,6.615833425,AStable,Current
DA_Rhy,-41.2267448,AStable,E245
DA_Rhy,-47.80299578,AStable,E370
DA_Rhy,-46.69639717,AStable,L245
DA_Rhy,-55.56408971,AStable,L370
DA_Rhy,2.381437321,AStable,Current
EA_Thuid,-15.87338433,AStable,E245
EA_Thuid,-24.61066962,AStable,E370
EA_Thuid,-23.09049376,AStable,L245
EA_Thuid,-45.96019829,AStable,L370
EA_Thuid,13.59865263,AStable,Current
FA_Broth,-23.52164565,D,E245
FA_Broth,-32.776834,D,E370
FA_Broth,-23.78246014,D,L245
FA_Broth,-44.13716784,D,L370
FA_Broth,17.17659199,D,Current
GA_Bryhnia,-30.74185279,D,E245
GA_Bryhnia,-37.59754786,D,E370
GA_Bryhnia,-33.1487979,D,L245
GA_Bryhnia,-46.31992947,D,L370
GA_Bryhnia,9.654585233,D,Current
HA_Dicrano,-5.185205943,D,E245
HA_Dicrano,-6.820885365,D,E370
HA_Dicrano,-6.079427039,D,L245
HA_Dicrano,-10.05125907,D,L370
HA_Dicrano,-0.751359675,D,Current
IA_Poly,-10.11241276,D,E245
IA_Poly,-11.77044771,D,E370
IA_Poly,-10.58933068,D,L245
IA_Poly,-15.90249436,D,L370
IA_Poly,4.973842313,D,Current
JA_Tetra,-36.20677663,D,E245
JA_Tetra,-44.91798047,D,E370
JA_Tetra,-40.79711159,D,L245
JA_Tetra,-64.35611155,D,L370
JA_Tetra,6.987828236,D,Current
