Species,PC_Histv245E,PC_Histv370E,PC_Hist245L,PC_Hist370L
Brotherella,-23.52164565,-32.776834,-23.78246014,-44.13716784
Atrichum,-44.98295196,-45.6573437,-44.6215376,-47.22968247
Bryhnia,-30.74185279,-37.59754786,-33.1487979,-46.31992947
Dicanodontium,-5.185205943,-6.820885365,-6.079427039,-10.05125907
Dicranum,-19.60714031,-24.64458581,-30.62468939,-44.44785717
Hypnum,-37.56614057,-43.79960679,-43.05069663,-49.89893985
Polytrichastrum,-10.11241276,-11.77044771,-10.58933068,-15.90249436
Rhytidiadelphus,-41.2267448,-47.80299578,-46.69639717,-55.56408971
Tetraphis,-36.20677663,-44.91798047,-40.79711159,-64.35611155
Thuidium,-15.87338433,-24.61066962,-23.09049376,-45.96019829
