"","diff","lwr","upr","p adj"
"Current:A-Ahistorical:A",5.03188180599983,-27.094935773195,37.1586993851946,0.999999999975484
"ssp245E:A-Ahistorical:A",-29.122861587,-61.2496791661948,3.00395599219485,0.136014248361357
"ssp370E:A-Ahistorical:A",-38.583203731,-70.7100213101948,-6.45638615180518,0.00347563997006572
"zz245L:A-Ahistorical:A",-36.033437014,-68.1602545931948,-3.90661943480517,0.0107358077242623
"zz370L:A-Ahistorical:A",-56.9665629848999,-89.0933805640947,-24.8397454057051,1.23351655334503e-07
"Ahistorical:B-Ahistorical:A",-3.93977954500009,-36.0665971241949,28.1870380341947,1
"Current:B-Ahistorical:A",1.8239304279999,-30.3028871511949,33.9507480071947,1
"ssp245E:B-Ahistorical:A",-37.044306599,-69.1711241781948,-4.9174890198052,0.00693983494198702
"ssp370E:B-Ahistorical:A",-47.1289587873,-79.2557763664948,-15.0021412081052,4.45010512889477e-05
"zz245L:B-Ahistorical:A",-44.2728675093,-76.3996850884948,-12.1460499301052,0.000208753872934397
"zz370L:B-Ahistorical:A",-63.4447482609,-95.5715658400948,-31.3179306817052,1.70890834816362e-09
"Ahistorical:C-Ahistorical:A",21.7774294739999,-10.3493881051949,53.9042470531947,0.676086520442106
"Current:C-Ahistorical:A",22.9769746689999,-9.14984291019486,55.1037922481948,0.570158059209967
"ssp245E:C-Ahistorical:A",12.471005372,-19.6558122071948,44.5978229511948,0.999176203379978
"ssp370E:C-Ahistorical:A",5.84223902600003,-26.2845785531948,37.9690566051948,0.999999999410305
"zz245L:C-Ahistorical:A",6.74047666100002,-25.3863409181948,38.8672942401948,0.999999988580785
"zz370L:C-Ahistorical:A",-26.5795915594,-58.7064091385948,5.54722601979482,0.27437166519471
"Ahistorical:D-Ahistorical:A",29.6181358839999,-2.50868169519491,61.7449534631947,0.116736523267004
"Current:D-Ahistorical:A",31.0344448979999,-1.0923726811949,63.1612624771947,0.0733956534989012
"ssp245E:D-Ahistorical:A",27.858479231,-4.26833834819483,59.9852968101948,0.196276095875384
